,production
648,0.7719583609842351
649,1.282876401921402
650,1.6114359150967734
651,2.9538352222004987
652,1.7313015001909409
653,1.4083004413825053
654,2.7229591746366206
655,1.6884339186605983
656,1.3064391358704261
657,0.7889118025443247
658,2.121542717698471
659,1.3355272440662374
660,0.0
661,1.7751218280750316
662,0.0
663,1.933403696963128
664,2.3574519944348857
665,2.26228379622052
666,1.8962696234310426
667,3.033124392771054
668,2.225055890484808
669,1.4250341894358212
670,0.9604989865384754
671,1.1403938226830648
672,2.291423028287854
673,1.262996144775397
674,2.3261062880353913
675,1.3589231643237587
676,0.9593502213346021
677,3.8687396509117873
678,0.9357011253939784
679,3.73461734578779
680,5.1713926729743696
681,2.261346344977448
682,0.8833542316278902
683,1.4681047363174566
684,1.746936425619734
685,1.1138292544729702
686,2.2285078895977297
687,2.7185944149778813
688,1.2272986296294326
689,1.9862291599576571
690,1.9862291599576571
691,2.1210632163706555
692,2.2798281058714296
693,3.711056710725288
694,3.0521598648526345
695,1.3252165116113002
696,1.9401794743463283
697,1.1352656063161453
698,0.4737466155245699
699,1.2638442013633264
700,1.3862943611198906
701,1.549050762419005
702,1.4692558818342378
703,1.9577751944697999
704,1.8438774234901616
705,2.6731136312213137
706,1.977962372729982
707,3.4239368686316447
708,6.4312038596703776
709,6.587439815915654
710,2.2383665206673946
711,0.7589349210979484
712,1.6902803002782012
713,1.2225982684491008
714,2.2489733235453966
715,1.3096832587480502
716,1.1448595398334294
717,1.0188473201992472
718,1.0338959739484186
719,1.3254822217231332
720,1.0807877037555578
721,1.1193948278506383
722,3.0470430677884184
723,2.052070344883704
724,2.6028378226196787
725,1.9783773391928148
726,2.298376248219991
727,3.585821840296531
728,0.8385453832493022
729,0.9150900112976362
730,1.4122057429043915
731,2.842798436406623
732,1.6108369333478076
733,2.26228379622052
734,1.0349622615916538
735,2.2923327165296943
736,1.1996635327378375
737,1.9968748180228737
738,1.299919145373145
739,1.6030173446311777
740,1.43746264769429
741,1.1578241482999556
742,1.4355606024228087
743,2.0399207835175526
744,1.5184185140469317
745,2.2034275214608274
746,2.28949985344539
747,1.9345602678597262
748,1.360463601085369
749,1.1914952828148235
750,0.37156355643248307
751,1.2627132993485362
752,1.2392434184078551
753,1.5085119938441398
754,1.9219101536931003
755,4.165969167657356
756,3.7018450365039595
757,1.4060969884160703
758,1.4671828648532292
759,1.0349622615916538
760,2.9798061230037316
761,0.9341306500024861
762,1.6482739362192986
763,1.2922583691932963
764,1.4738472581277522
765,1.456752824768452
766,0.0
767,1.9440512795703135
768,5.6884793095807344
769,0.21349717426240436
770,1.5409449159888
771,1.3847932349936236
772,5.041261487638017
773,1.1811135101798533
774,1.205970806988609
775,2.2973715259411582
776,2.4388627112865935
777,0.3499523981779056
778,4.4554861823601755
779,1.1755733298042381
780,1.8890374086925255
781,0.1798184265758361
782,1.3498896792260908
783,2.4537599207911636
784,4.761635328236819
785,2.074805813275308
786,1.3368414774003603
787,1.2919836816486494
788,1.435322592187245
789,1.0367368849500223
790,2.2797257988479633
791,4.386703182557784
792,2.329032263008894
793,1.223481270713979
794,2.2034275214608274
795,1.5398734490481913
796,1.4924545569482812
797,1.2095571826198366
798,0.6941466808930289
799,5.422020620853579
800,2.3112474660726985
801,1.9976890398075768
802,5.325684448335702
803,5.342343821297015
804,5.335309637027847
805,3.6614311731547073
806,3.1151140305740714
807,2.8284963541780774
808,0.0
809,1.2581768583394481
810,2.455392013237804
811,2.6879155186818293
812,2.045884758150993
813,1.7806985218686302
814,1.6785907711224168
815,1.5503246479415937
816,2.3172766417370356
817,0.9669838461896731
818,0.9321640810304452
819,0.8064758658669485
820,1.5243156590172653
821,1.980035485213189
822,2.2604080140948595
823,0.965080896043587
824,3.31611142259248
825,3.2561330732239084
826,3.1726224403507386
827,1.4341316905340509
828,1.1668937960845154
829,2.0155694650854254
830,1.328400382700988
831,1.3115708149239542
832,1.2706028866236991
833,1.7690024821054389
834,0.9250522375427278
835,2.1945543487803407
836,2.1319153889405387
837,0.7631395523799803
838,0.8060293376166179
839,1.0253244928982774
840,1.1814203998554245
841,2.0082140323914683
842,2.13829989868619
843,2.1241758730200067
844,2.090875919305499
845,1.4131796899012727
846,1.0962762288705619
847,2.146866517994625
848,2.293241577990893
849,5.094541298849118
850,3.3911133752081355
851,1.699826912161781
852,2.260825158745814
853,1.668084107866834
854,2.545609699901405
855,2.275111115993291
856,2.3006832857044492
857,2.508053352628247
858,2.322191622632964
859,2.3198354464005733
860,4.5435607043564
861,1.707290312601605
862,0.5782973388810033
863,1.276479495112684
864,2.0330048559062472
865,0.9400072584914712
866,4.030587957530395
867,0.9384435365152883
868,3.10004724281863
869,4.052306550875202
870,3.610593535715392
871,2.6655601494812577
872,3.983710908718929
873,0.0
874,0.8259282917937638
875,1.896869953630672
876,2.3477496449484194
877,0.06015392281974709
878,2.430362462935872
879,1.6036210271125355
880,1.8817525077547597
881,0.7875478559814296
882,1.4391239747644229
883,1.5381567104291367
884,0.012916225266546328
885,2.335729691586348
886,2.322387720290225
887,2.303284848108319
888,2.0980179272527715
889,1.4772770088317613
890,1.1203737804496223
891,2.3736957204519986
892,2.0900104930290704
893,1.6625994605483327
894,1.6225515515794835
895,2.5503041768742967
896,1.9776856327254484
897,0.06765864847381481
898,3.9925148429969806
899,3.5944588784944442
900,3.3764264326702347
901,2.2597819706687363
902,1.4845547302874103
903,2.2559126847956152
904,1.0899280226831425
905,2.117218906013866
906,2.2449559801574095
907,1.3188181959949765
908,2.072542799988679
909,2.0672424342228384
910,0.8862438105218584
911,1.724194149732289
912,1.3053554186145386
913,1.0925942163425466
914,1.6034198401085373
915,1.066777565148091
916,1.2900587532390648
917,2.2417729535972883
918,2.0587285000822946
919,0.47312375658197914
920,0.0
921,2.275933061996619
922,3.9573595938164376
923,0.0
924,2.2637403091704784
925,2.858479680127614
926,0.16041672140590468
927,2.353943385269188
928,3.7912329532257525
929,2.2925347571405443
930,0.30010459245033805
931,1.8429277558024544
932,0.9218751101680557
933,2.645323371193905
934,0.0
935,0.9110771648212677
936,6.436377906583209
937,1.3553195568204601
938,1.9447666383532343
939,1.0448598326688627
940,1.3121094629305141
941,0.0
942,2.993128887683876
943,3.636532973741727
944,4.576914734016459
945,1.6245235498521413
946,0.20782684720231648
947,0.6971392018294827
948,1.547562508716013
949,5.034683796853395
950,2.1116666889745725
951,2.1116666889745725
952,1.0281898243715637
953,1.0777290777516855
954,1.8059910514747795
955,2.1162555148025524
956,1.2988283353386147
957,1.587601217824926
958,1.2328517638763126
959,1.6517308246243518
960,1.1206998851321146
961,2.1140844851233753
962,3.470909994073456
963,1.6605111826181012
964,1.6567031049012146
965,5.211429618279698
966,0.05921185963184608
967,2.1688251028145213
968,5.342769563901385
969,4.824843723763018
970,1.9564260907832889
971,1.7355417892298264
972,1.7485039605570978
973,1.746936425619734
974,1.8841867094739821
975,4.344791948063656
976,4.683814993978061
977,1.9669724867847147
978,6.279374718543211
979,3.8803052743760107
980,1.9952443828790802
981,1.1540469955562103
982,0.04401688541677432
983,1.2958224579558149
984,1.2319770007355333
985,2.1098494978512186
986,1.9680908987564605
987,1.8089442939821558
988,0.21026092548319608
989,1.7394129888558458
990,1.6288483059539236
991,1.1480371719956328
992,1.0841752408703402
993,1.5814498758939317
994,1.3209555198115503
995,1.4459773632810644
996,0.6693666518945418
997,2.666741977280534
998,1.6714733033535532
999,0.981703870422387
1000,3.800353742517894
1001,4.053036338400425
1002,4.359423088464029
1003,4.545738602218665
1004,1.9640306901685083
1005,0.21752781252857406
