,year,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,altitude,ac,solrad
2504,2017,40.17628,-4.849428,22.88736263736264,11.06071428571429,347.70000000000005,347.6,0.07,620.0,0 days 12:15:46.153846153,12.59587912087912,31.073901098901064,156.8687150837989,6589.07,1373.05,664.0,6266.304625998432,5.079303485604518
2505,2017,39.79657,-3.992624,22.34368131868132,10.291758241758249,349.8,348.6,0.91,571.0,0 days 12:15:36.098901098,14.814560439560442,32.64697802197798,194.2049861495845,6643.780000000001,1438.51,529.0,6392.298656651283,5.301382010495533
2506,2017,39.90132,-4.298384,23.10576923076924,10.38653846153846,320.29999999999995,320.2,0.07,520.0,0 days 12:15:37.582417582,14.134340659340658,31.794780219780225,170.6094182825485,6672.629999999999,1441.98,529.0,6392.298656651283,5.301382010495533
2507,2017,40.00811,-3.947354,23.19065934065933,10.262362637362644,326.90000000000003,326.70000000000005,0.14,528.0,0 days 12:15:40.219780219,14.696153846153832,32.239560439560414,179.2841225626741,6677.52,1469.78,529.0,6392.298656651283,5.301382010495533
2508,2017,39.88974,-3.53536,22.437362637362625,9.72005494505495,296.4,295.79999999999995,0.42,529.0,0 days 12:15:36.758241758,16.025274725274723,33.14642857142854,180.85635359116023,6677.950000000001,1485.54,529.0,6392.298656651283,5.301382010495533
2509,2017,39.81621,-3.102188,22.671978021978024,10.179670329670325,332.1,330.6,1.12,580.0,0 days 12:15:36.758241758,17.64697802197802,36.41813186813188,183.61432506887053,6693.5,1542.86,582.0,5888.680126897954,5.051713343838811
2510,2017,39.88144,-4.978609,23.136538461538457,11.31401098901098,347.70000000000005,347.6,0.07,620.0,0 days 12:15:36.098901098,12.59587912087912,31.073901098901064,156.8687150837989,6589.07,1380.05,529.0,6392.298656651283,5.301382010495533
2511,2017,39.8748,-5.255383,23.18186813186814,11.798351648351646,473.19999999999993,473.19999999999993,0.07,620.0,0 days 12:15:36.428571428,13.467582417582417,31.419780219780204,175.05292479108635,6564.4,1391.91,664.0,6266.304625998432,5.079303485604518
2512,2017,39.89803,-5.278959,23.29203296703298,11.53571428571428,376.3,376.3,0.0,623.0,0 days 12:15:35.934065934,11.452197802197796,30.04532967032969,167.0360110803324,6583.450000000001,1361.55,664.0,6266.304625998432,5.079303485604518
2513,2017,40.09217,-4.119881,22.99065934065933,10.062362637362638,326.90000000000003,326.70000000000005,0.14,528.0,0 days 12:15:42.527472527,14.696153846153832,32.239560439560414,179.2841225626741,6677.52,1464.3300000000002,529.0,6392.298656651283,5.301382010495533
2514,2017,40.01769,-4.074731,23.44258241758242,10.515659340659331,326.90000000000003,326.70000000000005,0.14,528.0,0 days 12:15:40.714285714,14.696153846153832,32.239560439560414,179.2841225626741,6677.52,1478.17,529.0,6392.298656651283,5.301382010495533
