,altitude,ac,solrad,lat,longitude
219,101.0,3566.763292134526,3.188986407306761,-29.1388,-59.2277
221,476.0,3497.196699194679,3.057453046206171,-40.012,-69.9918
222,101.0,3566.763292134526,3.188986407306761,-27.4252,-57.3341
223,101.0,3566.763292134526,3.188986407306761,-27.5785,-56.6726
224,476.0,3497.196699194679,3.057453046206171,-30.34,-69.27
225,476.0,3497.196699194679,3.057453046206171,-38.8367,-68.038
226,101.0,3566.763292134526,3.188986407306761,-29.1762,-56.6394
227,101.0,3566.763292134526,3.188986407306761,-34.889,-57.9206
228,476.0,3497.196699194679,3.057453046206171,-29.3823,-66.8325
229,101.0,3566.763292134526,3.188986407306761,-27.4184,-55.9097
230,4042.0,4007.736885556867,3.457012742900494,-24.4438,-65.2203
231,476.0,3497.196699194679,3.057453046206171,-34.6,-68.5285
232,476.0,3497.196699194679,3.057453046206171,-34.6028,-68.6383
233,476.0,3497.196699194679,3.057453046206171,-33.0551,-68.981
234,101.0,3566.763292134526,3.188986407306761,-28.0441,-58.2285
235,101.0,3566.763292134526,3.188986407306761,-29.1808,-58.0793
236,476.0,3497.196699194679,3.057453046206171,-34.9907,-68.6237
237,476.0,3497.196699194679,3.057453046206171,-34.9039,-68.6177
238,476.0,3497.196699194679,3.057453046206171,-34.8821,-68.576
239,476.0,3497.196699194679,3.057453046206171,-34.833,-68.5168
240,101.0,3566.763292134526,3.188986407306761,-34.5721,-58.3835
241,114.0,3261.747382962169,2.882465860472222,-27.5019,-55.1245
242,101.0,3566.763292134526,3.188986407306761,-33.3549,-60.1718
243,120.0,4353.865690431432,3.729459144114346,-28.6684,-66.7524
245,120.0,4353.865690431432,3.729459144114346,-28.6684,-66.7524
247,37.0,2137.712413331692,1.809506866983044,-45.7458,-67.6953
248,37.0,2137.712413331692,1.809506866983044,-45.8507,-67.9081
249,101.0,3566.763292134526,3.188986407306761,-29.7148,-57.0933
250,37.0,2137.712413331692,1.809506866983044,-45.7934,-67.5145
251,101.0,3566.763292134526,3.188986407306761,-29.34,-58.6077
252,37.0,2137.712413331692,1.809506866983044,-46.8065,-67.9808
253,37.0,2137.712413331692,1.809506866983044,-46.7842,-67.9498
254,120.0,4353.865690431432,3.729459144114346,-28.5339,-65.7997
256,476.0,3497.196699194679,3.057453046206171,-31.3891,-68.6752
258,476.0,3497.196699194679,3.057453046206171,-31.5129,-68.5399
259,120.0,4353.865690431432,3.729459144114346,-27.1149,-65.7523
260,101.0,3566.763292134526,3.188986407306761,-34.5754,-58.3788
261,101.0,3566.763292134526,3.188986407306761,-31.2567,-61.5203
263,120.0,4353.865690431432,3.729459144114346,-24.983,-65.686
264,37.0,2137.712413331692,1.809506866983044,-53.7862,-67.7222
265,476.0,3497.196699194679,3.057453046206171,-31.3891,-68.6752
267,16.0,3268.925652577528,2.780352900198646,-40.1511,-71.334
268,101.0,3566.763292134526,3.188986407306761,-33.3562,-60.1729
269,114.0,3261.747382962169,2.882465860472222,-26.6253,-54.1102
270,476.0,3497.196699194679,3.057453046206171,-36.2314,-66.9381
271,101.0,3566.763292134526,3.188986407306761,-28.5497,-56.0722
272,101.0,3566.763292134526,3.188986407306761,-32.9053,-60.6807
273,120.0,4353.865690431432,3.729459144114346,-28.165,-66.225
274,4042.0,4007.736885556867,3.457012742900494,-22.5099,-63.797
275,101.0,3566.763292134526,3.188986407306761,-33.3655,-60.1435
276,101.0,3566.763292134526,3.188986407306761,-29.2352,-61.7577
277,476.0,3497.196699194679,3.057453046206171,-31.4557,-68.7556
278,114.0,3261.747382962169,2.882465860472222,-25.8766,-54.5687
279,114.0,3261.747382962169,2.882465860472222,-37.2487,-56.9973
280,476.0,3497.196699194679,3.057453046206171,-39.0872,-67.0881
282,101.0,3566.763292134526,3.188986407306761,-32.5807,-60.7903
283,101.0,3566.763292134526,3.188986407306761,-27.4827,-56.7397
