,year,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
3645,2017,42.26285,-4.857982,19.831318681318688,7.560439560439563,367.0,362.3,3.5700000000000003,618.0,0 days 12:16:30.164835164,18.64835164835165,37.20054945054944,157.77624309392266,6123.68,1275.4399999999998
3646,2017,41.93401,-4.658901,19.644230769230763,7.531318681318693,278.40000000000003,277.90000000000003,0.42000000000000004,519.0,0 days 12:16:20.769230769,18.740659340659356,37.1370879120879,161.4792243767313,6205.65,1300.5100000000002
3647,2017,42.52446,-4.373779,18.789835164835157,7.101648351648357,383.2,373.5,7.5600000000000005,752.0,0 days 12:16:35.604395604,18.269780219780223,38.399450549450556,140.8977900552486,5829.37,1146.08
3648,2017,42.5064,-4.799212,18.85631868131868,7.2854395604395545,448.1,433.4,10.99,768.0,0 days 12:16:33.296703296,17.167307692307695,35.117032967032955,161.9889502762431,5908.4,1189.09
3649,2017,42.70685,-4.375168,17.396153846153844,6.322802197802199,424.70000000000005,393.40000000000003,23.869999999999997,966.0,0 days 12:16:40.549450549,15.529120879120903,36.935989010989005,147.58563535911603,5524.02,1003.41
3650,2017,42.80851,-4.730435,16.817032967032965,6.354395604395603,551.4,466.59999999999997,65.87,1082.0,0 days 12:16:41.208791208,14.517307692307687,35.721428571428575,172.8953168044077,5605.490000000001,1020.3
3651,2017,42.21475,-4.34334,19.625274725274707,7.494780219780223,357.5,353.9,2.8,647.0,0 days 12:16:27.197802197,18.306593406593407,38.63543956043955,138.53185595567868,6038.5599999999995,1238.9099999999999
3652,2017,42.41598,-4.664681,19.201098901098888,7.635989010989016,448.1,433.4,10.99,768.0,0 days 12:16:32.472527472,17.167307692307695,35.117032967032955,161.9889502762431,5908.4,1199.52
3653,2017,41.9534,-4.429997,20.458516483516487,8.210989010989021,305.0,304.1,0.84,577.0,0 days 12:16:20.934065934,17.79038461538461,37.38516483516483,156.82142857142858,6174.780000000001,1308.87
3654,2017,42.59135,-4.441792,18.823076923076933,7.075000000000005,407.7,395.1,9.66,775.0,0 days 12:16:36.098901098,17.553846153846166,36.87747252747252,151.18105849582173,5871.04,1163.0900000000001
3655,2017,42.02549,-4.123188,19.892582417582407,7.5035714285714326,345.0,340.20000000000005,4.0600000000000005,666.0,0 days 12:16:23.241758241,17.741483516483527,37.534065934065936,150.75757575757575,6109.2,1288.7
3656,2017,42.64664,-4.692118,15.748626373626383,6.347527472527473,925.0,842.3,59.989999999999995,1840.0,0 days 12:16:37.252747252,10.482692307692304,35.84258241758243,187.55153203342618,5280.75,870.4200000000001
3657,2017,42.20341,-4.393612,19.798351648351662,7.537637362637368,358.6,354.5,3.01,580.0,0 days 12:16:27.857142857,18.212637362637363,37.599450549450566,144.7403314917127,6083.8,1251.54
3658,2017,41.9045,-4.47994,20.40604395604396,8.16126373626374,305.0,304.1,0.84,577.0,0 days 12:16:21.098901098,17.79038461538461,37.38516483516483,156.82142857142858,6174.780000000001,1307.29
3659,2017,42.03398,-4.319597,20.401923076923076,7.9667582417582405,338.29999999999995,335.9,2.1000000000000005,624.0,0 days 12:16:23.901098901,17.318681318681328,37.637637362637356,151.1510989010989,6141.02,1296.05
3660,2017,41.96135,-4.7776,20.144230769230763,8.031318681318693,278.40000000000003,277.90000000000003,0.42000000000000004,519.0,0 days 12:16:24.560439560,18.740659340659356,37.1370879120879,161.4792243767313,6205.65,1315.8200000000002
3661,2017,42.92432,-4.680885,14.054945054945048,4.804395604395603,953.4000000000001,748.2,148.68,1948.0,0 days 12:16:45.659340659,10.51181318681319,37.98791208791212,182.2921348314607,5339.18,849.3899999999999
3662,2017,42.14552,-4.239007,19.775000000000002,7.642857142857147,357.5,353.9,2.8,647.0,0 days 12:16:25.714285714,18.306593406593407,38.63543956043955,138.53185595567868,6038.5599999999995,1242.8000000000002
3663,2017,42.4,-4.566667,19.27307692307692,7.525824175824181,407.7,395.1,9.66,775.0,0 days 12:16:31.648351648,17.553846153846166,36.87747252747252,151.18105849582173,5871.04,1176.79
3664,2017,42.04123,-4.400366,20.058516483516485,7.810989010989011,305.0,304.1,0.84,577.0,0 days 12:16:24.890109890,17.79038461538461,37.38516483516483,156.82142857142858,6174.780000000001,1295.88
3665,2017,42.60603,-4.654995,18.601098901098908,7.035989010989013,448.1,433.4,10.99,768.0,0 days 12:16:35.439560439,17.167307692307695,35.117032967032955,161.9889502762431,5908.4,1182.3400000000001
3666,2017,41.87996,-4.362146,19.9508241758242,7.51923076923077,338.29999999999995,335.9,2.1000000000000005,624.0,0 days 12:16:19.450549450,17.318681318681328,37.637637362637356,151.1510989010989,6141.02,1282.8200000000002
3667,2017,42.23528,-4.79,19.882967032967024,7.6098901098901095,367.0,362.3,3.5700000000000003,618.0,0 days 12:16:29.340659340,18.64835164835165,37.20054945054944,157.77624309392266,6123.68,1277.17
3668,2017,42.82626,-4.84626,16.817032967032965,6.354395604395603,551.4,466.59999999999997,65.87,1082.0,0 days 12:16:41.538461538,14.517307692307687,35.721428571428575,172.8953168044077,5605.490000000001,1020.05
3669,2017,41.92121,-4.494053,20.458516483516487,8.210989010989021,305.0,304.1,0.84,577.0,0 days 12:16:21.428571428,17.79038461538461,37.38516483516483,156.82142857142858,6174.780000000001,1309.5
3670,2017,41.8322,-4.327307,20.223351648351652,7.775274725274726,330.0,326.2,3.3600000000000003,618.0,0 days 12:16:18.461538461,16.71043956043955,36.47967032967031,164.9366391184573,6219.58,1310.5
3671,2017,42.65922,-4.385033,18.923076923076934,7.175,407.7,395.1,9.66,775.0,0 days 12:16:38.076923076,17.553846153846166,36.87747252747252,151.18105849582173,5871.04,1166.67
3672,2017,42.56084,-4.602565,18.623076923076926,6.874999999999995,407.7,395.1,9.66,775.0,0 days 12:16:35.934065934,17.553846153846166,36.87747252747252,151.18105849582173,5871.04,1157.76
3673,2017,42.22171,-4.974374,19.82802197802199,7.854670329670325,381.79999999999995,377.4,3.2900000000000005,648.0,0 days 12:16:26.868131868,18.624999999999982,35.90247252747253,163.17906336088154,6152.68,1280.84
3674,2017,41.87197,-4.223928,20.172802197802184,7.726098901098902,330.0,326.2,3.3600000000000003,618.0,0 days 12:16:20.934065934,16.71043956043955,36.47967032967031,164.9366391184573,6219.58,1310.33
3675,2017,42.25081,-4.966945,19.778571428571414,7.8043956043956015,381.79999999999995,377.4,3.2900000000000005,648.0,0 days 12:16:27.692307692,18.624999999999982,35.90247252747253,163.17906336088154,6152.68,1279.3899999999999
3676,2017,42.56544,-4.584489,18.87307692307693,7.12582417582418,407.7,395.1,9.66,775.0,0 days 12:16:34.285714285,17.553846153846166,36.87747252747252,151.18105849582173,5871.04,1165.0
3677,2017,42.05107,-4.131148,20.050824175824154,7.6131868131868075,338.29999999999995,335.9,2.1000000000000005,624.0,0 days 12:16:23.736263736,17.318681318681328,37.637637362637356,151.1510989010989,6141.02,1285.5100000000002
3678,2017,42.38933,-4.461307,19.27307692307692,7.525824175824181,407.7,395.1,9.66,775.0,0 days 12:16:30.824175824,17.553846153846166,36.87747252747252,151.18105849582173,5871.04,1176.02
3679,2017,42.15525,-4.259672,19.87500000000001,7.742857142857143,357.5,353.9,2.8,647.0,0 days 12:16:27.197802197,18.306593406593407,38.63543956043955,138.53185595567868,6038.5599999999995,1246.07
3680,2017,42.72227,-4.823821,17.317032967032965,6.854395604395603,551.4,466.59999999999997,65.87,1082.0,0 days 12:16:38.736263736,14.517307692307687,35.721428571428575,172.8953168044077,5605.490000000001,1032.3
3681,2017,42.31688,-4.543277,19.647802197802207,7.392857142857134,358.6,354.5,3.01,580.0,0 days 12:16:30.989010989,18.212637362637363,37.599450549450566,144.7403314917127,6083.8,1247.23
