,Unnamed: 0,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,altitude,solrad,City,production prediction
72,72,37.34855,-2.36155,22.313461538461542,12.820329670329674,202.0,201.5,0.35,362.0,734.85,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1404.41,21.0,5.615388717961149," Purchena, Valle del Almanzora, Almería, Andalucía, España",30.03901
73,73,36.99564,-2.680989,24.213186813186805,14.10714285714286,211.0,198.3,8.89,431.0,734.7666666666667,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1447.19,21.0,5.615388717961149," Rágol, Almería, Andalucía, 04430, España",41.13243
74,74,36.94406,-2.462424,24.864010989011003,15.371703296703302,202.0,201.5,0.35,362.0,734.7666666666667,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1490.19,21.0,5.615388717961149," Rioja, Almería, Andalucía, 04410, España",30.567034
75,75,36.76427,-2.614935,25.664010989011,16.171703296703296,202.0,201.5,0.35,362.0,734.65,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1516.3700000000003,21.0,5.615388717961149," Roquetas de Mar, Almería, Andalucía, 04740, España",42.54417
76,76,37.0172,-2.603768,23.613461538461525,14.120329670329664,202.0,201.5,0.35,362.0,734.7166666666667,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1448.86,21.0,5.615388717961149," Calle Granada, Santa Cruz de Marchena, Almería, Andalucía, España",39.966736
77,77,36.97506,-2.530279,24.364010989011,14.871703296703302,202.0,201.5,0.35,362.0,734.7333333333333,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1472.9299999999998,21.0,5.615388717961149," Santa Fe de Mondújar, Almería, Andalucía, 04420, España",28.606783
78,78,37.20457,-2.347544,21.82802197802196,9.375549450549446,261.9,217.4,31.430000000000003,466.0,734.7833333333333,13.79450549450548,37.07747252747252,191.53591160220995,6945.81,1391.36,21.0,5.615388717961149,"Senés, Almería, Andalucía, 04213, España",72.071556
79,79,37.34361,-2.508077,21.454395604395604,10.89203296703297,344.8,310.70000000000005,23.94,578.0,734.8333333333334,13.066483516483515,37.88956043956044,180.99166666666667,6936.52,1351.84,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04890, España",34.534756
80,80,37.32348,-2.398526,22.21318681318681,12.10714285714286,211.0,198.3,8.89,431.0,734.8333333333334,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1387.46,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04880, España",35.48271
81,81,37.39139,-2.389127,21.354395604395595,10.79203296703297,344.8,310.70000000000005,23.94,578.0,734.85,13.066483516483515,37.88956043956044,180.99166666666667,6936.52,1348.4,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04887, España",28.645067
82,82,37.09841,-2.126351,23.164010989011008,13.671703296703289,202.0,201.5,0.35,362.0,734.7666666666667,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1434.23,21.0,5.615388717961149," Sorbas, Almería, Andalucía, 04270, España",25.844437
83,83,37.3382,-2.389523,22.713186813186805,12.607142857142858,211.0,198.3,8.89,431.0,734.8333333333334,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1401.96,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04880, España",35.592052
